stress_score,burnout_score,work_hours_per_week,sleep_hours_per_night,work_mode
9.9,10.0,54,5.1,Hybrid
6.7,4.8,51,6.1,On-site
6.8,4.7,49,6.4,Remote
5.6,3.8,44,7.2,Hybrid
7.3,5.2,45,4.8,Remote
5.0,2.4,46,7.8,Hybrid
5.5,3.1,42,5.2,Hybrid
7.0,6.3,46,6.1,Remote
10.0,9.8,55,7.4,Hybrid
4.8,0.4,45,6.9,Remote
7.7,5.1,37,6.5,On-site
9.4,8.7,57,6.0,Hybrid
8.2,6.1,43,4.6,Hybrid
6.5,2.1,42,7.4,On-site
10.0,9.2,52,5.7,Hybrid
9.6,10.0,54,5.6,On-site
9.0,5.9,43,7.4,Hybrid
7.2,4.8,46,5.6,Hybrid
7.6,8.2,52,7.4,Hybrid
4.0,3.3,49,6.3,Hybrid
9.8,10.0,53,6.1,On-site
4.5,4.8,49,6.6,Hybrid
10.0,9.5,50,5.6,On-site
6.2,4.8,47,5.7,Remote
7.8,5.1,37,4.2,Hybrid
8.4,5.6,45,6.9,Hybrid
7.1,6.7,56,5.7,Hybrid
10.0,10.0,45,4.1,Remote
5.6,4.6,45,6.9,Remote
5.9,4.6,48,5.5,On-site
3.5,1.5,39,4.9,Hybrid
5.4,3.5,46,5.7,Hybrid
9.4,8.2,48,5.1,On-site
5.7,4.1,50,7.2,On-site
10.0,9.5,62,7.5,On-site
7.6,7.2,49,6.2,Remote
9.6,6.1,49,7.7,On-site
9.1,9.0,54,6.3,Hybrid
8.0,4.5,42,6.4,Remote
8.5,7.5,47,5.2,On-site
5.8,3.0,46,6.4,On-site
3.4,1.3,42,6.3,Remote
6.8,6.7,42,5.5,Remote
10.0,9.5,41,6.5,On-site
7.0,6.4,48,3.6,Hybrid
6.8,6.7,48,6.1,Hybrid
6.4,3.3,50,6.0,On-site
5.1,1.2,48,7.6,Remote
2.3,1.0,46,5.2,On-site
8.6,5.6,38,5.0,Remote
6.2,6.0,50,4.1,Hybrid
10.0,8.2,46,5.8,Remote
3.5,2.7,46,6.7,Hybrid
4.3,0.8,35,7.0,On-site
5.2,2.8,37,7.4,Hybrid
7.5,6.1,53,7.3,On-site
2.4,0.2,39,6.5,On-site
5.4,5.0,44,5.1,Remote
5.6,7.1,51,5.6,Hybrid
5.7,6.1,52,6.2,Hybrid
7.3,4.0,43,6.8,Hybrid
9.7,7.0,51,6.5,On-site
8.8,3.8,41,6.7,On-site
10.0,9.8,47,5.3,Remote
6.4,4.6,52,6.9,Hybrid
5.9,2.4,37,7.4,Remote
10.0,9.5,46,3.8,Remote
4.8,1.4,42,6.9,Remote
8.2,7.6,54,6.4,On-site
10.0,8.4,47,5.2,Hybrid
10.0,10.0,56,6.0,On-site
8.7,7.0,51,7.2,Hybrid
10.0,10.0,46,6.8,Remote
3.6,3.8,52,6.4,Remote
7.1,8.2,48,6.2,Remote
8.2,6.5,51,6.0,Remote
7.9,6.9,52,7.0,Hybrid
6.6,4.3,52,6.7,Hybrid
4.1,2.9,43,7.2,On-site
7.8,5.7,48,4.2,On-site
7.9,6.4,50,4.2,Hybrid
6.7,7.0,48,5.1,Hybrid
10.0,10.0,65,5.9,Hybrid
9.8,9.2,45,5.2,On-site
7.7,7.6,47,4.4,On-site
7.8,5.7,40,5.5,Hybrid
1.3,0.0,42,7.4,On-site
5.3,0.7,42,7.0,Remote
9.9,7.5,54,6.7,Remote
10.0,10.0,44,7.1,Remote
8.7,5.9,50,6.6,Hybrid
10.0,8.2,54,5.1,Hybrid
6.6,4.6,51,8.0,Hybrid
9.1,5.8,42,5.7,Remote
6.2,6.8,48,5.8,Hybrid
5.0,2.5,42,5.9,Hybrid
6.6,5.6,44,6.7,On-site
5.5,4.2,53,7.0,Hybrid
6.5,4.3,49,7.9,Hybrid
1.7,3.6,44,6.4,Remote
6.3,4.9,44,4.0,Remote
7.2,6.6,46,5.7,Remote
7.9,6.8,46,6.4,Hybrid
4.4,2.3,44,5.7,Remote
5.6,5.1,48,7.3,Remote
4.7,3.6,49,6.8,Hybrid
2.9,0.6,43,7.0,Hybrid
4.7,3.6,41,4.9,Hybrid
3.9,2.0,44,8.4,Hybrid
8.3,9.3,48,4.6,Hybrid
9.8,9.5,42,5.1,Hybrid
8.8,8.2,59,6.7,Hybrid
8.5,8.1,52,4.5,Hybrid
6.2,4.5,50,6.4,On-site
3.5,0.0,42,6.7,Remote
4.9,4.7,43,6.9,Remote
10.0,6.8,52,5.7,Remote
4.1,0.0,39,7.3,On-site
7.0,6.0,53,6.3,Hybrid
8.7,7.3,48,6.7,Hybrid
9.3,6.7,50,6.6,Hybrid
9.9,7.5,55,7.2,Remote
7.4,1.3,39,7.2,Hybrid
7.7,4.4,45,6.0,Hybrid
10.0,9.1,53,4.8,On-site
6.3,6.9,44,6.3,Hybrid
8.1,7.2,55,5.1,Remote
5.6,3.4,56,7.0,Hybrid
6.6,4.3,46,6.1,On-site
6.7,6.3,50,4.2,Hybrid
8.1,3.3,44,7.7,On-site
6.2,2.2,39,6.5,On-site
2.6,0.1,43,7.3,On-site
8.7,6.4,41,5.8,Hybrid
5.1,4.6,43,5.7,Hybrid
5.1,1.8,39,6.5,Remote
5.9,5.6,39,5.4,Remote
6.0,3.7,53,6.9,Remote
9.5,8.3,52,5.7,Hybrid
6.2,6.1,39,4.2,On-site
7.9,4.4,50,6.3,Hybrid
6.7,6.5,48,6.7,Hybrid
4.0,2.9,48,7.5,Remote
7.7,4.2,37,6.2,Remote
1.0,0.0,40,8.6,Hybrid
5.9,3.2,44,5.8,Hybrid
3.8,2.4,41,7.0,Remote
8.0,6.0,50,5.8,Hybrid
6.7,6.6,41,6.0,On-site
4.5,1.5,46,6.4,Remote
10.0,6.3,53,7.7,On-site
8.9,4.8,43,7.1,On-site
10.0,6.5,47,5.4,Remote
10.0,9.5,54,5.6,Hybrid
3.4,4.5,48,5.2,Hybrid
3.9,3.2,44,3.4,Hybrid
8.2,3.0,45,6.2,On-site
7.3,5.5,50,7.1,Remote
4.3,3.6,51,5.5,On-site
7.4,5.0,45,5.2,Hybrid
8.2,4.6,42,6.7,Hybrid
5.3,3.9,48,6.2,Hybrid
8.9,7.2,50,6.0,Hybrid
7.1,4.6,39,5.4,Remote
9.1,6.3,52,5.2,Remote
5.4,3.7,42,4.7,Hybrid
7.4,5.6,51,5.0,On-site
5.5,4.6,52,5.2,Hybrid
10.0,9.1,48,7.1,Remote
1.4,3.3,51,7.3,Hybrid
9.6,5.2,46,5.6,Remote
10.0,9.7,57,5.4,On-site
7.3,6.3,53,6.6,Remote
10.0,10.0,59,7.2,Hybrid
9.4,8.3,45,6.4,Hybrid
7.5,3.4,40,6.4,On-site
8.8,6.5,39,5.5,On-site
8.2,4.2,44,5.7,Remote
10.0,9.3,54,6.1,On-site
4.5,0.0,43,7.1,Remote
6.8,3.6,49,6.9,Hybrid
4.4,3.2,46,6.4,Hybrid
5.0,4.5,47,6.8,Remote
8.2,7.2,45,7.3,Hybrid
3.9,2.0,58,7.8,On-site
7.8,4.8,51,5.9,Remote
4.3,3.4,50,4.7,Remote
5.3,5.9,35,5.6,Hybrid
4.5,0.2,43,6.4,Remote
4.8,2.2,37,6.2,Remote
6.5,3.2,41,7.6,Remote
6.5,6.2,51,6.1,Remote
10.0,9.1,48,4.5,On-site
6.7,5.9,51,6.1,On-site
6.6,1.9,45,7.5,Remote
8.7,7.7,50,4.1,Hybrid
7.9,6.2,46,3.3,Remote
5.8,2.1,37,6.2,Remote
8.8,4.7,50,7.7,Hybrid
7.6,7.3,50,8.8,On-site
3.3,1.3,45,6.9,On-site
8.7,5.6,41,4.5,Remote
8.6,7.8,45,5.9,Remote
9.5,8.0,49,8.2,On-site
5.1,4.7,46,4.9,Remote
6.1,4.8,43,6.3,On-site
5.8,3.0,39,6.3,On-site
6.8,4.4,45,6.4,Remote
7.7,4.9,48,7.0,Hybrid
4.8,0.3,49,6.0,Remote
6.4,7.2,47,6.0,Hybrid
7.5,4.9,51,5.0,Hybrid
5.8,4.5,47,5.2,Hybrid
8.9,5.8,39,4.6,Remote
9.0,8.6,51,4.2,Hybrid
7.9,5.9,42,6.4,Hybrid
3.9,0.0,48,6.2,On-site
7.2,4.6,46,5.1,Remote
4.1,4.0,51,6.9,Remote
3.6,2.4,47,5.6,Hybrid
7.9,7.6,43,5.2,Hybrid
8.8,6.9,45,7.7,Remote
4.8,3.2,38,6.3,Remote
8.9,9.4,53,6.0,Hybrid
7.2,5.6,47,4.7,Remote
6.6,5.2,45,5.8,Hybrid
9.7,8.2,45,4.7,Remote
10.0,9.8,60,5.0,Remote
7.8,3.7,35,6.6,On-site
5.4,2.0,44,7.1,Hybrid
7.3,7.0,42,5.0,Hybrid
3.2,2.1,48,5.5,On-site
10.0,8.4,50,5.3,Remote
10.0,7.3,54,5.4,Remote
8.7,9.2,46,4.3,Hybrid
9.6,10.0,57,5.6,Remote
6.6,4.1,46,7.2,On-site
6.3,3.9,45,7.0,Remote
6.9,4.6,47,6.1,Hybrid
3.6,0.4,36,6.5,Hybrid
10.0,10.0,47,7.0,Remote
8.0,5.3,47,5.2,Remote
4.3,2.2,45,6.9,On-site
3.4,2.2,40,6.4,Remote
6.8,5.9,49,7.1,Remote
4.7,1.5,55,7.3,Remote
6.0,2.4,41,6.6,Remote
10.0,8.1,55,7.7,Remote
3.6,1.0,44,5.0,Remote
10.0,10.0,54,7.5,Hybrid
3.6,1.6,39,5.6,Remote
6.4,3.7,37,5.4,Hybrid
6.0,5.6,49,5.4,Hybrid
4.9,3.7,51,5.5,Hybrid
7.2,5.6,58,5.0,Hybrid
6.0,1.7,51,6.9,Remote
3.8,1.6,39,7.5,Hybrid
9.3,7.5,51,5.8,Hybrid
4.3,4.0,47,6.6,Hybrid
4.9,2.9,47,7.9,Hybrid
4.3,2.3,47,5.7,Hybrid
8.1,6.5,50,5.4,On-site
5.1,5.0,53,7.1,Hybrid
8.8,5.7,48,6.6,Remote
3.8,0.0,39,4.3,On-site
1.6,1.1,43,7.0,Remote
8.3,7.8,37,7.9,Hybrid
7.4,4.8,45,6.8,Remote
9.2,8.7,46,5.3,Hybrid
10.0,10.0,53,5.9,Hybrid
7.2,5.9,55,5.7,Hybrid
6.5,6.0,45,6.3,On-site
3.7,2.5,38,4.1,On-site
2.4,2.8,45,6.2,Hybrid
7.4,3.3,43,3.5,On-site
8.9,3.5,47,8.4,On-site
10.0,8.4,48,5.5,Hybrid
10.0,10.0,54,5.3,Remote
8.0,4.6,43,7.3,Remote
9.7,6.5,54,4.6,Remote
8.5,6.4,47,6.3,On-site
9.1,7.9,48,6.0,Hybrid
6.9,4.4,37,5.5,Remote
8.0,5.7,47,6.8,Hybrid
5.9,3.5,49,6.7,Hybrid
5.0,0.6,45,7.0,On-site
10.0,6.7,40,7.0,Remote
2.9,1.0,47,7.2,On-site
6.6,4.5,41,5.2,Remote
10.0,8.6,49,5.6,On-site
9.3,7.4,46,7.4,On-site
3.2,0.5,36,6.6,On-site
5.7,4.6,48,6.6,Remote
7.2,4.7,46,7.6,Remote
10.0,8.8,50,7.1,Hybrid
9.6,8.0,56,7.0,Remote
10.0,9.6,52,5.0,Remote
10.0,10.0,47,6.4,On-site
5.3,3.2,48,4.8,Hybrid
5.0,2.1,48,5.8,Hybrid
6.1,4.9,49,6.2,On-site
2.1,0.8,40,5.6,Remote
6.3,5.3,39,5.5,On-site
9.0,7.2,53,5.9,Hybrid
4.7,2.5,49,5.7,Hybrid
9.8,10.0,50,4.9,Remote
9.2,9.5,51,6.8,Remote
5.2,1.5,37,6.9,Remote
4.4,5.1,54,4.4,Hybrid
8.0,5.7,50,7.1,On-site
7.7,4.8,49,7.3,Hybrid
3.5,0.0,39,8.3,On-site
6.3,7.6,48,6.8,Hybrid
8.1,5.6,45,5.4,Remote
6.9,7.5,52,5.8,Remote
7.0,6.2,54,3.3,Remote
7.4,7.0,51,3.4,Remote
4.3,2.6,48,6.5,On-site
2.7,0.9,41,6.3,Hybrid
10.0,10.0,50,5.1,Remote
6.3,5.0,38,5.7,On-site
10.0,9.2,47,6.4,Remote
9.9,10.0,41,6.3,Remote
6.8,4.4,37,5.9,Remote
3.3,0.0,41,6.7,Hybrid
6.6,4.4,48,6.5,Remote
5.1,0.2,43,6.5,Hybrid
7.4,2.6,43,7.2,Remote
8.3,6.4,54,8.1,Remote
8.0,4.8,44,5.5,Hybrid
8.9,5.1,47,4.6,Remote
10.0,10.0,55,5.5,On-site
8.4,7.3,36,4.0,Remote
6.8,5.1,55,7.1,Remote
6.6,6.4,49,5.1,Hybrid
10.0,10.0,48,5.6,Hybrid
10.0,9.6,55,5.8,On-site
6.1,4.4,43,5.8,Hybrid
10.0,9.5,45,4.0,Remote
4.4,2.9,42,4.0,Hybrid
7.7,5.9,46,5.7,Hybrid
7.7,4.6,41,5.3,Remote
10.0,8.2,51,7.2,Hybrid
8.5,5.3,38,7.4,Hybrid
6.5,2.5,44,5.8,Remote
6.5,3.6,56,7.1,Hybrid
8.3,7.8,37,7.0,Remote
6.0,4.9,52,6.0,On-site
4.8,5.8,49,5.8,On-site
8.0,4.3,47,7.1,Hybrid
5.9,7.3,49,7.5,Remote
7.3,6.3,35,5.4,On-site
6.9,6.0,41,5.4,Remote
7.7,6.6,42,4.7,Remote
8.4,5.5,54,6.3,Hybrid
2.4,1.0,43,6.6,Remote
4.9,6.7,50,6.5,Remote
8.1,8.5,56,5.2,On-site
6.3,7.1,43,3.6,Hybrid
4.6,1.7,38,5.3,Hybrid
6.0,5.6,46,6.1,Remote
7.7,6.6,48,5.7,Remote
8.0,8.2,45,4.0,Remote
4.8,3.8,53,7.3,On-site
10.0,9.4,47,6.6,Hybrid
3.7,0.0,38,4.2,On-site
5.7,3.6,51,5.5,On-site
7.1,5.8,45,6.3,Remote
5.3,5.2,50,5.7,Remote
6.6,4.4,44,6.3,On-site
7.7,2.7,39,5.7,On-site
8.8,6.1,49,6.7,Hybrid
4.9,3.5,51,5.3,Remote
7.1,5.5,49,5.6,Remote
7.7,6.3,48,4.9,On-site
7.7,5.5,51,4.9,Hybrid
9.5,9.3,50,7.0,Remote
4.1,2.2,41,5.1,Hybrid
9.2,9.5,53,6.8,On-site
9.8,8.1,43,5.0,Hybrid
4.6,2.6,43,8.5,Remote
8.1,7.9,44,6.0,Remote
5.5,2.6,52,6.7,Remote
4.6,1.9,45,6.7,Hybrid
9.0,6.8,57,6.3,Hybrid
10.0,7.7,45,6.7,Remote
6.4,4.7,43,5.9,Hybrid
10.0,10.0,55,6.2,Hybrid
5.2,6.8,55,4.4,On-site
3.7,3.1,53,5.9,Remote
7.9,5.1,38,6.3,Hybrid
7.5,6.4,49,5.8,Hybrid
7.4,4.4,40,4.9,On-site
5.5,3.1,37,7.2,Remote
2.6,0.0,41,5.9,Remote
5.5,4.0,48,6.3,Hybrid
2.7,0.2,49,6.5,Hybrid
10.0,7.9,46,4.4,Hybrid
9.3,9.2,54,4.8,Hybrid
7.9,6.9,47,6.5,Remote
5.9,4.1,41,5.6,Remote
5.9,5.7,50,5.7,On-site
8.5,9.4,55,5.7,Hybrid
6.2,3.0,51,6.0,Hybrid
4.5,2.3,41,6.7,On-site
10.0,7.3,51,6.8,Hybrid
7.6,5.0,48,5.4,Remote
7.2,3.3,46,5.0,Hybrid
2.4,1.0,42,8.4,Hybrid
3.1,1.5,45,6.7,Remote
6.1,4.0,44,4.6,Remote
5.0,2.8,51,8.5,Hybrid
8.2,3.2,46,5.0,Hybrid
5.4,1.0,49,7.2,Hybrid
5.1,3.7,46,7.1,On-site
5.0,1.5,50,5.7,On-site
7.7,5.6,47,5.7,Remote
6.4,1.6,39,5.4,On-site
6.7,7.1,45,5.9,On-site
10.0,10.0,60,5.6,Hybrid
4.3,0.2,45,7.3,Remote
5.6,2.6,37,8.1,Hybrid
10.0,9.6,52,5.4,Remote
6.2,3.6,49,5.3,On-site
3.3,0.6,42,6.6,Remote
5.2,5.0,49,5.6,Remote
10.0,8.5,45,6.1,On-site
10.0,10.0,55,5.7,Hybrid
10.0,6.0,56,8.2,Remote
4.9,3.8,48,6.6,Remote
10.0,10.0,47,5.0,Remote
2.5,0.0,36,6.4,Remote
4.5,4.4,50,5.6,Hybrid
7.1,3.6,48,5.5,Hybrid
2.8,1.4,39,7.1,Hybrid
5.1,5.0,47,7.3,On-site
4.6,3.0,58,6.9,Remote
10.0,9.2,53,7.0,Remote
10.0,10.0,58,7.1,Remote
10.0,9.0,46,8.1,Remote
4.6,2.3,45,7.2,Remote
8.0,6.7,44,6.4,Remote
4.9,4.5,50,7.1,Remote
6.7,5.8,51,7.6,Remote
6.6,2.6,46,6.7,Remote
6.2,2.3,48,6.7,Hybrid
2.2,1.5,48,8.4,Hybrid
6.7,5.6,51,6.5,On-site
2.6,0.0,38,5.3,On-site
6.8,5.2,53,5.8,Remote
10.0,10.0,50,6.3,Hybrid
9.0,5.5,43,5.1,Hybrid
9.5,7.0,52,6.3,Hybrid
6.9,3.9,47,7.0,On-site
8.0,6.9,50,3.6,On-site
9.2,7.1,43,5.7,Hybrid
6.3,4.2,45,6.7,Remote
6.4,3.0,42,5.4,On-site
8.2,4.6,49,6.3,Hybrid
7.2,5.8,48,7.4,Hybrid
8.4,7.2,53,7.8,Remote
8.3,7.3,50,6.0,Remote
4.5,3.1,44,6.0,Hybrid
8.6,8.1,52,5.2,Remote
10.0,7.7,49,4.7,Hybrid
8.4,8.0,52,5.8,Remote
6.4,5.0,51,7.4,Remote
6.6,6.5,47,6.9,Hybrid
6.7,3.6,48,5.8,Hybrid
4.0,3.0,40,5.6,Hybrid
7.7,5.9,47,4.9,On-site
4.6,1.7,45,7.4,Remote
8.9,6.0,49,5.8,Remote
9.6,6.9,47,5.7,Hybrid
7.8,5.9,47,4.6,Remote
8.4,7.5,49,5.3,Hybrid
7.2,5.3,46,5.6,Remote
6.4,3.2,45,4.7,On-site
8.9,4.8,50,6.3,Hybrid
7.2,4.8,49,5.6,Hybrid
4.5,2.2,42,6.4,Remote
9.8,8.8,57,5.7,On-site
6.9,3.7,49,6.8,On-site
4.8,4.8,48,6.5,Hybrid
9.6,8.3,52,5.7,On-site
4.4,4.0,53,6.1,Hybrid
6.7,4.9,51,5.5,On-site
4.6,3.9,45,6.0,Remote
6.9,3.7,44,5.3,On-site
6.0,4.3,43,5.2,Remote
8.3,5.6,42,5.9,On-site
5.4,4.5,46,6.1,On-site
5.3,1.8,45,7.8,Hybrid
5.3,2.5,49,7.8,On-site
7.9,4.9,52,7.3,Hybrid
6.2,3.8,42,5.8,Hybrid
6.9,6.1,50,5.4,On-site
5.7,4.1,43,5.5,On-site
7.8,5.8,48,7.7,Hybrid
7.2,6.6,55,6.1,Remote
8.3,7.6,49,5.7,Hybrid
5.4,5.2,46,6.0,Remote
9.4,7.4,44,5.8,Hybrid
3.6,0.7,50,8.5,Hybrid
10.0,9.2,46,4.2,Remote
3.6,3.7,44,7.8,Hybrid
8.9,3.7,38,7.4,Hybrid
6.2,2.7,47,5.5,Hybrid
7.7,3.8,53,7.1,Remote
6.0,3.2,41,8.2,Remote
6.6,4.9,38,5.5,Remote
9.3,7.2,49,7.0,Hybrid
9.0,7.8,50,6.7,Remote
5.9,2.6,49,5.7,Hybrid
3.6,1.4,45,6.5,Hybrid
10.0,8.8,49,6.3,On-site
8.1,8.2,52,5.1,On-site
7.2,7.3,49,5.5,Remote
9.2,5.4,43,5.8,Remote
3.3,2.2,39,6.5,Hybrid
6.7,3.4,44,5.6,Hybrid
7.0,5.2,47,7.3,On-site
8.6,8.3,53,7.3,On-site
4.1,2.6,50,6.3,Remote
9.9,7.6,54,7.4,Hybrid
6.1,6.2,42,5.9,Hybrid
5.8,5.6,42,5.6,Hybrid
9.3,8.2,35,4.5,Hybrid
8.6,8.3,52,6.5,Hybrid
9.1,6.5,50,6.8,Remote
7.7,7.5,48,6.3,On-site
10.0,10.0,51,3.3,Remote
9.3,4.6,46,6.6,Hybrid
5.3,5.3,46,6.3,Hybrid
5.2,2.5,45,7.2,Hybrid
3.4,3.1,48,5.0,Hybrid
7.9,7.0,48,5.6,Hybrid
5.5,1.3,50,6.7,Hybrid
8.6,7.3,46,7.7,On-site
6.6,3.8,45,5.7,Hybrid
7.8,4.0,46,8.1,On-site
7.8,6.9,49,6.8,Hybrid
8.1,5.8,51,5.9,Hybrid
9.5,8.9,47,4.6,Remote
4.6,2.8,48,6.8,On-site
8.5,5.3,51,5.6,On-site
10.0,8.8,54,6.2,Hybrid
2.0,1.4,47,4.7,Remote
8.7,5.3,44,5.7,Hybrid
10.0,9.1,53,6.7,On-site
8.4,5.3,42,5.3,On-site
7.2,7.0,55,5.3,Remote
8.6,6.1,42,5.4,Remote
5.0,3.5,55,5.9,On-site
10.0,10.0,50,5.0,On-site
6.4,5.0,48,7.0,On-site
10.0,10.0,53,4.5,Hybrid
6.5,5.0,46,4.9,Hybrid
5.8,4.3,40,4.9,On-site
7.7,4.3,47,7.3,Hybrid
9.4,8.3,43,5.2,Remote
8.0,4.8,49,5.9,Remote
4.9,2.3,46,6.7,On-site
6.6,4.0,49,5.4,Remote
2.5,1.3,38,7.5,Hybrid
9.2,6.1,40,5.5,Remote
9.2,7.1,45,6.6,Remote
7.5,6.1,47,7.3,Hybrid
8.6,6.2,46,4.7,Remote
5.8,4.3,47,6.2,On-site
9.6,9.2,47,5.9,Hybrid
6.1,4.5,42,5.4,Hybrid
3.8,2.9,42,6.8,Remote
4.0,1.0,45,6.0,Hybrid
2.9,0.0,50,7.5,Remote
4.8,4.6,42,4.8,Remote
5.7,3.5,47,6.9,Remote
6.6,5.5,39,4.9,Hybrid
6.3,4.9,44,6.1,Remote
10.0,10.0,50,6.5,On-site
9.2,6.2,36,6.1,Hybrid
5.7,5.3,43,5.6,Hybrid
8.4,5.7,47,5.6,On-site
4.8,5.5,52,6.1,Remote
9.2,8.7,51,5.1,Remote
9.1,8.3,60,5.2,Hybrid
10.0,10.0,57,6.0,Hybrid
5.2,5.4,57,6.4,Hybrid
5.5,3.6,47,6.5,Remote
6.5,5.5,56,6.6,Remote
9.3,10.0,55,4.4,Hybrid
10.0,8.8,46,4.7,Hybrid
10.0,9.9,51,5.8,Hybrid
8.6,8.4,46,6.4,On-site
10.0,8.4,57,5.0,Remote
9.5,10.0,55,5.7,Hybrid
10.0,8.6,50,4.6,Remote
3.2,0.0,47,7.2,Remote
7.3,7.2,51,5.7,Hybrid
8.1,6.4,41,3.9,Hybrid
8.7,6.9,48,6.4,Hybrid
5.2,3.0,51,7.5,Remote
10.0,10.0,56,5.8,Remote
7.6,5.8,51,8.0,Remote
4.0,0.0,45,7.6,On-site
8.0,6.1,53,6.4,Remote
4.4,1.3,46,7.5,Hybrid
7.9,6.3,48,4.6,Remote
8.0,7.1,46,5.9,On-site
10.0,10.0,57,4.4,Remote
10.0,10.0,62,5.9,Hybrid
9.2,6.3,44,6.2,On-site
9.1,7.4,49,5.0,Remote
10.0,9.2,47,6.8,On-site
7.7,6.3,55,5.7,Remote
3.4,0.0,41,9.9,Remote
8.3,7.1,46,5.1,Hybrid
7.7,7.1,50,5.8,Remote
9.0,5.8,45,6.7,On-site
7.3,5.5,50,5.6,On-site
8.1,6.8,56,6.4,Remote
8.7,5.1,52,6.6,Hybrid
5.3,3.9,49,8.0,Remote
10.0,9.8,52,6.9,On-site
2.8,0.5,44,8.0,Hybrid
10.0,8.0,45,3.8,Remote
10.0,7.7,50,4.5,Remote
9.4,9.5,53,4.1,Remote
7.3,6.1,44,5.2,Hybrid
10.0,7.1,45,6.0,Hybrid
4.4,5.0,48,7.0,Hybrid
8.0,5.8,50,7.2,Hybrid
6.8,6.3,50,5.8,On-site
8.2,8.4,47,5.8,Remote
9.8,9.3,59,5.6,Remote
7.7,5.1,37,5.6,Hybrid
9.5,8.7,56,7.6,Remote
10.0,9.9,45,5.8,Remote
8.6,5.0,48,6.3,Hybrid
8.4,7.2,43,4.9,Hybrid
7.7,5.8,49,6.1,Remote
8.6,7.4,50,6.0,Hybrid
5.3,4.9,48,5.0,Hybrid
10.0,8.3,55,7.0,Remote
3.7,1.5,41,6.7,Remote
8.5,5.5,41,5.8,On-site
10.0,8.5,50,6.9,Hybrid
10.0,8.4,48,7.2,Hybrid
9.5,7.3,48,6.4,Hybrid
6.4,4.6,55,7.4,Hybrid
8.1,5.6,52,5.4,On-site
5.2,0.8,35,5.4,Hybrid
8.1,5.7,48,5.6,Hybrid
8.2,5.5,46,6.7,Remote
8.2,5.8,43,4.8,On-site
10.0,7.4,46,5.8,Remote
7.3,4.7,51,5.0,Remote
7.9,3.6,43,8.1,Remote
10.0,9.8,52,5.2,On-site
2.4,0.3,44,6.5,Hybrid
10.0,9.3,53,6.7,Hybrid
5.7,4.9,44,5.5,On-site
6.9,4.9,45,5.8,On-site
5.0,4.1,40,4.8,On-site
7.9,5.8,47,3.3,Hybrid
8.0,4.0,46,7.1,Remote
4.3,1.5,47,7.7,Hybrid
8.8,4.5,58,5.6,On-site
10.0,7.0,50,5.4,Remote
6.5,3.3,50,6.8,Remote
6.3,7.4,46,6.0,On-site
10.0,10.0,56,7.1,Hybrid
9.7,10.0,47,4.4,Hybrid
10.0,10.0,56,5.7,Remote
7.3,6.2,48,6.1,Hybrid
5.1,5.2,42,4.8,Remote
7.3,6.3,46,5.2,Hybrid
6.2,5.9,44,5.6,Hybrid
1.4,0.2,38,6.5,On-site
10.0,6.1,50,5.4,Hybrid
9.8,8.3,45,5.3,Hybrid
6.5,4.1,57,7.3,Hybrid
8.7,4.6,45,6.7,On-site
2.0,1.3,42,7.1,Remote
7.1,5.8,47,4.9,Remote
6.0,2.3,44,4.9,On-site
8.5,6.0,45,4.5,On-site
3.5,0.0,44,7.8,Hybrid
3.2,0.2,37,6.2,On-site
7.7,5.7,45,5.8,Remote
6.9,3.3,39,5.5,On-site
9.5,6.1,48,7.3,Hybrid
5.9,3.5,49,6.1,On-site
6.2,4.3,53,6.2,Hybrid
7.1,6.7,55,6.2,On-site
7.0,5.1,42,5.4,Hybrid
7.0,3.2,46,7.4,Remote
3.9,0.2,35,6.6,Hybrid
6.2,7.5,47,5.6,Hybrid
1.9,0.0,35,6.8,On-site
10.0,10.0,43,4.7,Hybrid
8.7,4.6,48,7.9,Hybrid
4.7,5.6,51,6.5,On-site
8.7,7.0,49,7.3,Remote
4.8,3.3,53,7.0,On-site
10.0,10.0,52,5.5,On-site
4.5,1.8,42,7.2,Remote
10.0,10.0,50,6.0,Hybrid
7.9,5.5,56,6.3,Hybrid
6.7,3.9,46,5.7,On-site
9.9,6.4,44,5.3,Hybrid
9.0,8.5,51,5.4,Remote
10.0,10.0,49,6.8,Remote
4.8,6.5,49,5.7,On-site
9.9,8.5,48,5.3,Hybrid
8.0,6.8,47,5.9,Remote
4.7,2.6,42,5.8,Hybrid
4.5,5.0,42,4.5,Hybrid
8.4,6.9,46,5.2,Hybrid
8.6,7.3,52,5.3,Remote
7.3,4.8,38,5.6,Hybrid
5.1,3.8,43,6.2,Hybrid
7.2,6.1,50,5.3,Hybrid
10.0,10.0,49,3.6,Hybrid
7.8,5.0,46,6.8,Hybrid
10.0,9.8,54,5.5,Hybrid
8.2,6.4,47,7.6,On-site
7.6,6.9,50,6.2,Remote
10.0,7.2,38,5.1,Remote
4.5,4.8,44,5.8,On-site
5.4,5.5,47,6.7,On-site
6.3,6.4,39,6.7,On-site
8.2,5.0,41,5.8,On-site
6.6,2.1,35,7.8,Hybrid
5.0,5.2,48,5.8,Hybrid
10.0,9.2,45,6.6,Remote
7.3,6.4,46,8.4,Remote
9.4,5.8,49,7.7,Remote
3.1,0.5,43,8.5,Hybrid
8.7,7.0,44,6.8,Hybrid
10.0,10.0,44,4.9,On-site
3.9,3.5,50,5.0,Hybrid
