job_role,seniority_level,years_experience,years_at_company,company_size,industry,work_mode,salary_usd,work_hours_per_week,meetings_per_day,team_size,sleep_hours_per_night,exercise_days_per_week,vacation_days_taken,therapy_access,uses_therapy,ai_tools_daily,manager_support_score,work_life_balance_score,job_satisfaction_score,social_support_score,deadline_pressure_score,autonomy_score
Cybersecurity Engineer,Senior,12,4.4,Large (1001-5000),SaaS / Cloud,On-site,131815,41,3.3,8,6.1,2,20,0,0,1,4.8,7.6,5.9,7.5,6.1,6.7
Software Engineer,Senior,5,5.2,Large (1001-5000),SaaS / Cloud,Remote,40000,43,5.8,29,7.6,4,8,1,1,1,10.0,3.8,1.6,6.4,7.5,7.4
DevOps Engineer,Junior,17,0.9,Startup (1-50),E-commerce,On-site,40000,48,2.4,8,6.1,3,9,0,0,0,5.2,5.9,4.2,4.5,3.5,6.7
Data Scientist,Lead,6,0.8,Startup (1-50),Fintech,Remote,40000,43,3.3,7,5.8,3,15,0,0,1,5.1,3.0,3.7,4.9,5.9,6.3
Frontend Developer,Junior,20,0.9,Startup (1-50),Healthcare Tech,Hybrid,41014,51,4.4,2,7.4,6,15,1,1,1,4.1,6.5,5.6,6.7,4.8,3.7
Data Analyst,Junior,14,1.0,Mid (201-1000),SaaS / Cloud,Hybrid,40000,42,5.5,9,6.8,6,14,1,0,0,8.6,6.8,1.8,4.9,5.0,6.1
DevOps Engineer,Mid,2,2.3,Large (1001-5000),Gaming,Hybrid,93557,43,4.5,16,7.7,6,15,1,0,1,3.5,4.3,6.0,6.9,8.1,1.9
Cybersecurity Engineer,Lead,9,0.8,Mid (201-1000),Cybersecurity,Hybrid,132068,57,7.8,27,6.3,2,12,0,0,1,8.2,6.9,7.6,3.7,5.7,4.8
Cloud Engineer,Mid,9,2.0,Mid (201-1000),E-commerce,Remote,89693,48,4.7,10,5.9,3,18,0,0,1,10.0,6.8,5.5,4.9,7.1,7.3
ML Engineer,Principal,7,1.6,Small (51-200),AI / ML Startup,Hybrid,60465,47,5.0,22,5.8,0,6,0,0,0,7.6,5.9,3.2,7.5,9.8,4.3
Cybersecurity Engineer,Senior,18,1.8,Large (1001-5000),AI / ML Startup,Remote,40000,51,2.7,14,5.7,3,12,0,0,1,5.8,4.9,6.2,6.5,6.0,7.1
Frontend Developer,Mid,9,0.8,Mid (201-1000),AI / ML Startup,Remote,80699,41,4.0,9,4.9,5,9,0,0,0,3.7,3.9,6.5,5.6,4.7,4.3
Cloud Engineer,Mid,10,0.6,Small (51-200),Fintech,Remote,93125,44,4.2,18,5.0,7,13,1,0,0,8.3,3.6,3.1,6.5,8.3,5.2
DevOps Engineer,Lead,13,4.5,Startup (1-50),Fintech,Remote,115930,50,7.1,4,7.0,3,19,0,0,1,6.5,6.5,7.3,2.3,9.1,9.4
Product Manager,Mid,1,6.8,Large (1001-5000),SaaS / Cloud,Remote,112766,53,2.2,13,6.8,1,4,0,0,1,6.5,4.5,6.1,6.6,5.2,6.5
Data Analyst,Manager,13,3.2,Small (51-200),Fintech,On-site,125930,54,10.3,13,5.1,5,13,0,0,1,5.8,5.4,8.4,9.7,4.9,5.8
Software Engineer,Lead,9,7.3,Small (51-200),Fintech,Hybrid,98531,52,6.5,19,5.2,1,15,1,0,1,4.0,7.8,3.0,3.5,10.0,6.9
ML Engineer,Lead,10,1.1,Startup (1-50),Fintech,Hybrid,171521,50,7.0,6,6.4,4,10,0,0,1,3.3,6.6,5.6,8.1,6.8,3.9
Software Engineer,Junior,18,1.2,Enterprise (5000+),Fintech,On-site,69168,40,4.6,24,6.8,6,22,1,0,1,5.1,5.7,8.3,5.9,7.3,6.5
DevOps Engineer,Manager,0,1.9,Startup (1-50),Fintech,Hybrid,40404,49,6.8,8,5.0,2,4,0,0,1,5.7,7.8,3.3,7.2,7.4,5.4
Software Engineer,Mid,9,3.9,Startup (1-50),E-commerce,Hybrid,104559,44,2.4,8,7.2,3,3,0,0,1,4.5,6.5,6.6,2.7,5.7,6.4
Frontend Developer,Manager,4,1.2,Mid (201-1000),Consulting,Hybrid,120323,57,6.4,18,6.7,3,15,0,0,0,3.9,3.2,4.0,3.5,4.4,6.2
Data Scientist,Lead,0,8.4,Mid (201-1000),E-commerce,Remote,110242,56,7.5,24,5.6,6,18,0,0,1,4.5,3.5,6.7,7.8,7.1,5.2
ML Engineer,Senior,10,3.2,Enterprise (5000+),Fintech,On-site,186604,53,3.9,20,6.7,5,7,0,0,0,4.6,5.6,6.2,6.2,6.6,4.9
Data Analyst,Senior,18,1.9,Mid (201-1000),E-commerce,Remote,113699,48,4.2,17,6.2,3,17,1,1,1,5.2,1.7,6.4,4.4,6.2,6.8
Product Manager,Mid,12,1.6,Mid (201-1000),SaaS / Cloud,Remote,73145,53,4.3,24,6.3,2,14,0,0,1,8.8,2.2,3.5,4.2,3.3,6.8
Backend Developer,Mid,4,0.6,Large (1001-5000),SaaS / Cloud,Hybrid,86613,47,4.8,5,6.0,5,18,1,0,1,8.0,8.7,2.1,6.7,8.0,4.2
Backend Developer,Senior,0,11.3,Startup (1-50),Fintech,Remote,69842,50,2.6,6,7.3,3,8,1,1,0,6.6,4.6,3.3,6.8,7.9,7.3
Software Engineer,Senior,10,3.7,Mid (201-1000),Gaming,Remote,128862,39,2.7,15,6.1,2,7,0,0,1,4.9,2.0,7.2,5.4,6.7,6.5
Backend Developer,Lead,0,0.2,Mid (201-1000),AI / ML Startup,Remote,96730,48,5.0,10,4.9,3,12,0,0,1,6.1,3.0,2.1,2.2,8.2,3.1
Software Engineer,Junior,23,3.5,Enterprise (5000+),AI / ML Startup,Hybrid,75210,42,2.6,44,6.6,0,8,0,0,1,5.7,7.1,6.3,6.9,2.9,6.0
Software Engineer,Junior,4,4.1,Large (1001-5000),AI / ML Startup,Hybrid,40000,51,3.7,14,5.6,4,5,0,0,1,9.2,4.5,6.3,5.4,7.1,5.0
Data Scientist,Mid,1,1.3,Enterprise (5000+),E-commerce,Hybrid,115949,47,2.7,28,8.0,2,20,0,0,0,4.6,6.9,2.4,4.6,8.7,4.5
Cybersecurity Engineer,Senior,8,0.4,Startup (1-50),SaaS / Cloud,Hybrid,75440,48,1.6,8,5.8,7,12,0,0,1,7.5,7.6,6.1,3.3,4.4,4.1
Data Analyst,Manager,0,0.9,Mid (201-1000),Social Media / AdTech,Hybrid,134001,50,7.8,7,6.0,0,19,0,0,1,3.3,4.5,4.3,5.2,4.6,4.0
Software Engineer,Lead,25,1.0,Startup (1-50),Healthcare Tech,Hybrid,99590,51,7.0,5,7.6,7,9,1,1,1,6.0,7.4,7.2,6.3,3.7,5.3
ML Engineer,Principal,20,1.2,Mid (201-1000),Cybersecurity,Hybrid,181568,50,0.6,23,6.3,4,21,0,0,1,5.2,5.3,2.6,6.7,8.0,5.6
Data Scientist,Manager,14,3.1,Enterprise (5000+),Enterprise Software,Hybrid,177607,47,4.9,28,6.1,3,18,0,0,1,7.3,3.9,6.7,6.1,6.0,5.0
Software Engineer,Lead,14,0.6,Startup (1-50),Fintech,Remote,136988,54,5.6,2,6.8,2,18,0,0,0,4.3,6.1,5.6,4.5,7.4,5.3
Software Engineer,Mid,7,4.3,Enterprise (5000+),Fintech,Hybrid,41246,41,2.7,49,6.3,2,8,0,0,0,2.7,7.5,1.5,7.3,8.2,5.3
Full Stack Developer,Lead,8,0.8,Large (1001-5000),Social Media / AdTech,On-site,47730,48,8.8,15,7.0,4,14,0,0,1,7.6,6.2,3.6,6.2,7.1,6.1
ML Engineer,Mid,14,2.4,Startup (1-50),Consulting,Hybrid,40000,37,5.0,6,6.0,3,15,0,0,0,7.4,6.3,7.2,4.9,4.6,4.2
ML Engineer,Junior,24,4.3,Startup (1-50),Gaming,Remote,76109,49,1.0,7,7.1,5,10,0,0,0,4.9,6.5,5.4,4.0,6.3,5.8
Full Stack Developer,Principal,11,3.7,Small (51-200),Enterprise Software,Remote,48271,51,3.4,14,4.9,4,15,1,0,1,10.0,6.1,2.6,2.3,7.6,5.1
Product Manager,Senior,0,2.4,Large (1001-5000),Healthcare Tech,Remote,136707,46,2.9,15,5.4,3,13,0,0,0,6.4,5.5,7.6,10.0,6.4,5.4
Software Engineer,Junior,2,1.3,Large (1001-5000),Healthcare Tech,On-site,40000,47,3.3,18,6.1,4,0,1,1,0,9.0,7.3,4.7,4.3,4.4,6.6
Data Scientist,Manager,15,1.1,Small (51-200),Gaming,Hybrid,108960,52,6.5,15,6.1,0,11,0,0,1,5.7,4.4,7.2,6.6,4.2,3.3
Backend Developer,Mid,5,3.2,Startup (1-50),SaaS / Cloud,On-site,58587,45,3.1,6,5.8,3,12,1,1,1,2.0,4.7,3.7,5.0,5.2,7.3
QA Engineer,Senior,11,1.1,Small (51-200),Healthcare Tech,Remote,62129,49,0.1,24,5.5,2,11,0,0,1,8.8,1.9,1.0,2.6,8.3,6.2
Backend Developer,Mid,4,1.0,Small (51-200),AI / ML Startup,On-site,40000,51,2.6,14,6.6,1,10,1,0,1,6.4,5.7,4.5,3.9,10.0,4.0
Data Analyst,Lead,3,1.4,Large (1001-5000),E-commerce,On-site,134346,46,5.8,8,6.0,0,15,1,0,0,4.0,6.5,8.2,4.2,5.6,3.4
Software Engineer,Senior,15,0.6,Small (51-200),Healthcare Tech,On-site,130565,59,2.2,26,5.9,3,7,0,0,1,5.3,6.3,5.8,6.3,7.7,6.2
Cloud Engineer,Mid,12,2.1,Startup (1-50),Healthcare Tech,Hybrid,71457,35,2.1,2,6.3,1,10,1,0,1,9.6,7.8,4.5,8.8,7.0,2.9
Product Manager,Mid,6,1.4,Mid (201-1000),Consulting,On-site,65250,44,4.7,26,6.3,2,11,0,0,1,5.2,4.5,2.4,7.0,7.7,3.7
Product Manager,Senior,1,0.2,Startup (1-50),E-commerce,Hybrid,100630,43,4.1,6,7.0,5,14,0,0,0,1.0,8.5,5.8,3.7,6.8,5.0
Data Analyst,Senior,21,2.6,Small (51-200),SaaS / Cloud,Remote,40000,47,4.1,26,6.3,3,18,0,0,1,5.9,7.2,4.1,3.9,5.1,2.9
Backend Developer,Principal,3,1.9,Startup (1-50),Consulting,Remote,110868,56,3.1,3,7.1,2,11,0,0,1,5.5,6.5,4.9,5.6,4.5,10.0
Product Manager,Mid,10,2.7,Startup (1-50),Fintech,Hybrid,40000,49,3.3,8,5.5,3,18,0,0,0,3.3,6.9,4.5,6.6,8.3,5.1
QA Engineer,Junior,13,1.7,Startup (1-50),E-commerce,Remote,43351,45,3.7,3,5.2,4,12,0,0,1,1.4,3.7,2.7,4.8,7.4,4.3
Software Engineer,Manager,11,1.3,Mid (201-1000),SaaS / Cloud,Remote,40000,50,4.5,9,8.3,4,7,1,0,0,7.9,8.9,4.5,2.9,4.4,6.3
Cybersecurity Engineer,Lead,12,1.5,Startup (1-50),Cybersecurity,On-site,40000,52,5.1,7,5.7,1,6,1,0,1,6.6,4.8,4.0,6.1,4.7,6.9
DevOps Engineer,Junior,3,1.9,Mid (201-1000),E-commerce,Remote,51359,44,4.0,21,4.6,0,0,0,0,0,6.4,4.7,3.3,4.3,2.2,6.6
Product Manager,Junior,14,8.0,Large (1001-5000),Fintech,On-site,49983,46,6.4,25,5.7,4,21,1,1,0,6.1,4.0,7.2,10.0,4.2,5.3
Software Engineer,Principal,3,3.0,Enterprise (5000+),SaaS / Cloud,On-site,60450,51,6.6,45,7.6,3,6,0,0,0,9.7,3.4,3.6,1.7,2.6,5.9
Software Engineer,Mid,13,1.9,Mid (201-1000),E-commerce,Remote,68623,37,2.9,13,6.7,3,6,0,0,1,7.5,4.9,2.6,4.4,8.4,9.8
ML Engineer,Senior,3,8.6,Mid (201-1000),AI / ML Startup,On-site,115585,54,6.5,20,5.2,2,2,1,0,1,5.8,7.3,2.8,6.3,5.5,5.7
DevOps Engineer,Manager,14,0.5,Enterprise (5000+),Enterprise Software,Remote,158085,46,4.6,56,5.9,3,16,1,0,0,5.9,5.2,7.3,6.6,4.5,4.6
Data Analyst,Lead,4,1.6,Mid (201-1000),Social Media / AdTech,Remote,118252,43,7.4,28,4.0,3,10,0,0,1,6.7,2.7,7.3,2.6,10.0,8.4
Software Engineer,Senior,18,1.7,Large (1001-5000),Fintech,Remote,84171,46,5.9,29,6.6,0,16,0,0,0,5.6,3.8,7.0,5.5,5.6,7.1
Full Stack Developer,Junior,3,0.6,Enterprise (5000+),Healthcare Tech,Hybrid,40000,49,3.4,55,5.2,4,9,0,0,0,4.3,7.2,4.1,3.9,6.6,3.0
Product Manager,Junior,11,4.1,Large (1001-5000),SaaS / Cloud,Hybrid,40000,46,4.5,23,7.1,6,16,0,0,0,7.6,5.1,5.2,7.1,8.4,8.1
Backend Developer,Junior,5,0.1,Mid (201-1000),E-commerce,Remote,51532,41,4.9,15,4.1,4,15,0,0,0,3.1,9.0,2.4,4.5,6.0,5.5
QA Engineer,Mid,10,0.7,Enterprise (5000+),Cybersecurity,Hybrid,40000,57,0.5,28,6.9,3,8,0,0,1,4.7,5.8,5.9,4.1,5.1,6.7
Frontend Developer,Senior,4,1.1,Startup (1-50),E-commerce,Remote,101233,49,4.7,2,5.1,0,14,0,0,0,4.1,1.4,9.6,1.2,6.7,8.0
Software Engineer,Manager,15,1.8,Startup (1-50),Consulting,Hybrid,124033,47,4.9,2,6.9,4,18,0,0,0,7.4,7.2,4.4,1.4,5.7,5.2
Cloud Engineer,Junior,20,1.9,Small (51-200),SaaS / Cloud,Hybrid,71029,51,2.7,17,6.8,7,12,1,1,1,6.1,6.4,4.1,5.4,5.4,5.0
Backend Developer,Principal,6,0.4,Startup (1-50),Healthcare Tech,Hybrid,117204,47,2.9,6,7.3,1,18,0,0,1,6.7,4.6,6.0,10.0,5.6,5.3
Software Engineer,Senior,10,0.1,Small (51-200),SaaS / Cloud,Remote,40000,43,4.3,23,5.7,2,12,0,0,0,3.0,4.0,7.9,3.0,7.8,5.6
Software Engineer,Manager,2,0.1,Mid (201-1000),Social Media / AdTech,On-site,112626,50,7.1,18,5.7,0,25,0,0,1,3.6,4.5,5.2,6.4,3.9,2.3
DevOps Engineer,Junior,11,1.5,Mid (201-1000),Consulting,Hybrid,40000,49,4.7,28,4.9,2,12,1,1,1,7.5,4.5,5.1,2.8,3.2,5.3
Software Engineer,Mid,7,8.9,Mid (201-1000),AI / ML Startup,On-site,84418,49,3.2,8,4.5,3,7,1,1,0,5.1,4.9,6.0,8.4,7.2,8.8
Software Engineer,Junior,3,0.3,Small (51-200),Fintech,On-site,40000,45,2.3,11,5.3,4,5,0,0,1,8.7,2.1,5.0,4.7,6.0,8.4
Software Engineer,Lead,3,3.8,Large (1001-5000),SaaS / Cloud,Remote,141972,50,7.7,21,5.0,2,1,1,0,0,6.4,2.8,6.5,2.9,7.9,8.6
Full Stack Developer,Mid,11,2.0,Large (1001-5000),Social Media / AdTech,Hybrid,90619,47,6.4,6,4.4,0,16,0,0,1,4.1,7.6,4.0,5.5,5.4,5.5
Frontend Developer,Junior,13,0.9,Mid (201-1000),SaaS / Cloud,Hybrid,40000,45,2.5,5,5.6,0,9,0,0,0,6.5,6.2,7.8,5.9,6.5,2.5
ML Engineer,Junior,11,1.3,Startup (1-50),Cybersecurity,On-site,40000,52,5.5,5,5.3,1,19,1,0,0,6.6,5.5,3.3,6.5,6.1,5.3
ML Engineer,Mid,1,3.0,Small (51-200),Healthcare Tech,Hybrid,40000,47,2.6,15,5.4,4,12,1,1,1,5.7,5.0,1.7,7.9,6.4,5.3
Frontend Developer,Mid,13,1.9,Large (1001-5000),AI / ML Startup,Hybrid,40000,56,2.1,28,5.6,6,13,0,0,1,2.4,6.6,5.6,4.0,7.6,7.1
Data Analyst,Mid,25,2.3,Large (1001-5000),Consulting,Remote,73953,46,5.3,28,5.6,3,19,0,0,1,7.0,4.3,4.3,6.7,10.0,8.1
QA Engineer,Junior,0,0.6,Mid (201-1000),Social Media / AdTech,Remote,40000,50,2.9,6,5.7,1,3,0,0,1,4.4,5.4,5.1,6.0,6.4,5.1
DevOps Engineer,Senior,11,5.9,Small (51-200),Cybersecurity,Hybrid,52693,47,1.3,23,7.6,3,12,0,0,1,5.2,6.5,4.7,7.4,5.2,3.1
Frontend Developer,Lead,5,2.5,Small (51-200),Healthcare Tech,Hybrid,87600,49,5.6,16,5.9,4,10,0,0,1,4.7,5.3,6.9,4.7,4.9,7.6
Data Scientist,Lead,25,4.5,Large (1001-5000),Consulting,Remote,108708,55,7.1,21,6.0,5,5,1,0,0,4.4,9.7,7.2,4.2,6.1,4.7
Data Scientist,Manager,12,0.1,Small (51-200),AI / ML Startup,Hybrid,167870,58,5.5,21,5.7,3,10,1,0,0,7.5,8.0,7.3,6.1,7.9,5.5
Data Scientist,Junior,12,4.7,Mid (201-1000),E-commerce,Remote,40000,52,4.4,23,5.2,4,7,0,0,1,6.5,3.4,2.2,4.6,3.2,5.9
QA Engineer,Lead,8,1.3,Startup (1-50),Consulting,On-site,85961,48,5.8,4,4.7,3,4,0,0,1,7.5,9.7,5.2,4.9,6.0,4.7
DevOps Engineer,Mid,0,1.8,Startup (1-50),Consulting,Hybrid,69442,42,4.5,4,7.1,7,0,0,0,1,5.6,8.2,7.8,6.8,6.6,2.5
Product Manager,Mid,9,0.8,Mid (201-1000),Fintech,Hybrid,85859,39,2.9,12,7.4,1,21,1,1,1,5.2,4.5,5.6,7.7,10.0,5.2
Software Engineer,Lead,22,12.3,Startup (1-50),Social Media / AdTech,On-site,104055,62,3.0,3,8.0,6,14,0,0,1,9.2,6.9,6.8,7.7,4.3,6.0
Software Engineer,Mid,7,0.9,Large (1001-5000),E-commerce,Remote,40000,46,4.2,8,7.1,3,7,0,0,1,7.9,5.3,4.0,4.1,8.5,7.1
Software Engineer,Junior,9,4.9,Small (51-200),SaaS / Cloud,Remote,62312,55,2.6,15,8.1,3,10,0,0,1,2.1,5.6,7.6,3.3,6.1,5.7
Data Scientist,Manager,13,0.3,Enterprise (5000+),E-commerce,Hybrid,143757,47,9.0,27,5.7,3,5,1,0,1,6.6,5.9,5.2,5.7,4.4,7.3
Data Analyst,Mid,10,2.6,Mid (201-1000),E-commerce,Remote,81747,51,2.0,6,9.3,3,9,0,0,1,5.9,8.3,3.8,1.9,6.7,8.9
Data Scientist,Senior,4,1.6,Small (51-200),Consulting,Remote,134853,49,2.3,22,4.0,3,12,0,0,1,5.8,3.9,5.5,6.3,4.8,6.1
Backend Developer,Junior,2,0.1,Mid (201-1000),AI / ML Startup,Hybrid,67333,44,5.0,17,6.1,1,18,0,0,0,4.9,8.9,1.0,5.3,6.8,7.5
DevOps Engineer,Junior,12,2.2,Startup (1-50),Consulting,Remote,50299,36,2.8,4,6.2,0,9,0,0,0,3.8,5.8,6.3,6.9,4.6,4.7
Backend Developer,Lead,16,0.3,Large (1001-5000),Fintech,Hybrid,57691,57,7.7,5,5.2,4,1,1,0,0,5.8,4.6,3.3,6.1,4.4,8.5
QA Engineer,Senior,2,0.1,Large (1001-5000),Cybersecurity,Hybrid,72891,45,2.4,17,6.2,4,7,1,1,1,7.5,7.9,5.3,7.1,5.5,6.3
ML Engineer,Mid,11,7.4,Enterprise (5000+),Cybersecurity,On-site,99202,43,3.1,32,5.5,3,4,0,0,0,3.5,6.1,4.8,5.8,5.0,3.4
Cybersecurity Engineer,Mid,8,13.6,Startup (1-50),SaaS / Cloud,Hybrid,40000,50,6.7,7,5.6,3,12,0,0,1,6.1,7.6,3.6,6.6,8.7,6.3
Data Analyst,Junior,9,1.7,Small (51-200),Consulting,Hybrid,46921,48,5.6,16,5.4,1,0,0,0,1,4.3,3.5,6.0,3.7,1.0,4.0
Software Engineer,Lead,2,4.7,Small (51-200),Cybersecurity,Hybrid,98414,38,5.0,26,6.0,5,19,0,0,1,4.2,6.6,9.4,1.9,7.8,6.1
Cloud Engineer,Junior,10,8.3,Enterprise (5000+),Healthcare Tech,Hybrid,77146,47,6.1,40,5.0,7,24,0,0,0,3.2,6.4,3.6,4.5,7.1,6.0
Full Stack Developer,Mid,3,1.4,Mid (201-1000),Fintech,Hybrid,74295,52,2.6,18,6.8,4,12,1,1,0,3.5,9.3,4.9,6.3,7.4,4.8
ML Engineer,Mid,3,2.6,Small (51-200),Gaming,Hybrid,76999,42,1.9,23,6.9,5,18,0,0,1,5.1,6.1,2.9,7.9,7.9,7.2
DevOps Engineer,Junior,9,7.7,Startup (1-50),Social Media / AdTech,On-site,68746,52,3.1,3,6.0,3,12,0,0,1,6.9,7.2,5.4,3.3,8.1,2.4
Full Stack Developer,Mid,10,1.4,Large (1001-5000),SaaS / Cloud,Hybrid,106698,40,4.3,10,6.5,6,11,0,0,1,4.6,4.5,4.5,4.9,4.7,2.9
Product Manager,Junior,10,0.4,Startup (1-50),Healthcare Tech,Hybrid,53850,49,4.4,8,6.6,2,15,1,1,1,6.9,7.5,3.6,5.3,4.7,3.9
Data Analyst,Mid,6,0.4,Small (51-200),Fintech,Remote,66787,43,2.2,5,6.1,2,0,1,0,0,4.3,5.5,4.4,6.2,8.9,6.1
Frontend Developer,Senior,6,0.8,Large (1001-5000),Cybersecurity,Remote,100716,53,4.6,18,5.5,5,18,1,0,1,4.6,4.4,4.2,2.6,5.4,8.6
Software Engineer,Mid,18,6.3,Large (1001-5000),SaaS / Cloud,Hybrid,67152,49,4.0,8,7.7,2,19,1,0,1,8.4,7.9,4.5,5.9,9.3,6.9
DevOps Engineer,Senior,12,4.1,Large (1001-5000),Social Media / AdTech,Hybrid,124807,46,1.9,22,4.5,4,14,0,0,1,7.9,7.2,7.1,6.5,2.8,6.8
Backend Developer,Mid,0,3.0,Large (1001-5000),Gaming,Remote,77270,49,2.5,27,5.9,2,16,0,0,0,5.8,4.5,5.5,4.7,6.5,5.3
Data Analyst,Senior,9,2.9,Large (1001-5000),Fintech,Remote,40000,59,2.7,19,6.0,5,9,0,0,0,7.1,3.7,3.1,7.9,6.3,5.3
Software Engineer,Senior,4,2.3,Startup (1-50),AI / ML Startup,On-site,89389,47,4.3,7,6.3,1,11,1,1,1,6.3,6.6,4.5,8.0,6.3,7.0
Data Analyst,Junior,0,0.3,Enterprise (5000+),Consulting,Hybrid,61037,50,3.1,49,6.7,0,1,0,0,1,3.8,7.1,5.8,2.8,5.0,9.9
Software Engineer,Senior,0,0.1,Small (51-200),Consulting,Remote,40000,49,1.3,20,6.1,0,8,1,0,1,6.8,1.2,6.1,1.9,8.2,6.2
Data Scientist,Senior,8,0.9,Startup (1-50),E-commerce,Hybrid,40000,43,3.3,3,7.2,3,15,1,1,0,5.2,7.7,2.5,3.7,7.9,7.7
Data Scientist,Mid,5,0.5,Startup (1-50),E-commerce,Hybrid,74244,39,3.2,2,5.6,4,8,1,0,0,5.8,5.8,4.5,4.1,5.3,6.8
Software Engineer,Junior,5,10.3,Enterprise (5000+),SaaS / Cloud,Hybrid,51612,48,0.0,52,8.0,5,9,1,1,1,6.9,4.5,6.2,4.4,6.0,4.0
Software Engineer,Mid,18,0.4,Large (1001-5000),Healthcare Tech,Hybrid,101977,50,1.6,18,6.3,0,12,1,1,1,4.2,5.9,8.0,3.1,6.6,4.6
DevOps Engineer,Lead,15,2.6,Large (1001-5000),AI / ML Startup,Hybrid,158484,52,6.6,19,4.5,3,7,1,0,0,8.3,10.0,3.9,8.4,6.7,5.4
Software Engineer,Senior,7,6.7,Enterprise (5000+),Healthcare Tech,Hybrid,118842,42,2.5,28,7.5,0,11,1,0,0,8.9,8.0,8.2,7.6,1.8,4.5
Full Stack Developer,Lead,15,3.8,Large (1001-5000),SaaS / Cloud,Remote,103325,54,5.6,25,5.7,5,19,0,0,0,7.6,4.6,5.1,7.2,7.0,7.3
Product Manager,Senior,2,0.4,Enterprise (5000+),Gaming,Hybrid,98944,52,5.7,51,5.0,2,3,0,0,1,5.4,4.7,5.9,5.2,10.0,3.7
Software Engineer,Mid,0,0.8,Startup (1-50),SaaS / Cloud,On-site,40000,48,5.1,2,6.8,4,21,1,1,1,8.1,3.9,3.9,6.2,7.4,8.8
Software Engineer,Principal,21,1.3,Startup (1-50),SaaS / Cloud,Remote,133755,52,3.5,7,5.2,4,11,1,0,1,6.4,2.1,8.0,6.9,6.3,4.8
Product Manager,Mid,2,4.3,Small (51-200),Consulting,Hybrid,74009,45,5.9,21,5.1,4,11,0,0,0,5.9,5.2,5.3,8.1,6.6,3.4
Data Analyst,Manager,3,1.7,Large (1001-5000),Fintech,Hybrid,112516,50,5.2,10,6.8,1,0,0,0,1,5.7,4.8,8.3,1.7,5.8,7.0
DevOps Engineer,Senior,17,3.3,Startup (1-50),Fintech,On-site,118229,43,1.9,4,3.6,4,16,0,0,1,8.8,3.7,8.4,3.0,5.2,7.4
DevOps Engineer,Junior,6,4.3,Mid (201-1000),Fintech,On-site,55612,40,1.7,13,5.5,4,12,1,1,0,7.3,4.8,3.9,5.8,8.5,4.8
ML Engineer,Junior,3,2.3,Mid (201-1000),E-commerce,On-site,53457,48,4.5,5,5.4,4,18,0,0,0,8.4,6.2,5.6,5.5,5.0,5.2
Product Manager,Senior,9,1.9,Startup (1-50),Fintech,On-site,137959,44,1.7,6,7.9,4,5,1,1,1,6.2,3.4,10.0,3.5,10.0,5.0
Cybersecurity Engineer,Mid,18,1.0,Startup (1-50),E-commerce,Hybrid,40000,40,2.8,6,6.4,5,15,1,0,0,8.3,7.0,2.8,6.5,7.4,6.9
Software Engineer,Principal,0,4.9,Mid (201-1000),SaaS / Cloud,Remote,112739,47,0.7,5,5.6,3,18,0,0,1,6.0,2.9,7.2,4.6,4.2,7.5
Frontend Developer,Mid,12,2.9,Mid (201-1000),Fintech,On-site,56866,50,4.4,10,7.2,1,7,0,0,1,5.9,4.4,4.4,6.5,9.1,5.0
Data Analyst,Mid,6,1.3,Enterprise (5000+),Consulting,Hybrid,69920,44,5.7,38,6.4,1,2,1,1,0,6.3,6.3,2.9,2.7,6.1,7.7
Full Stack Developer,Senior,0,1.5,Mid (201-1000),AI / ML Startup,On-site,70490,47,2.8,8,5.6,3,19,0,0,0,5.2,5.9,7.1,6.5,9.5,5.9
Data Scientist,Junior,11,1.0,Startup (1-50),Healthcare Tech,Hybrid,63321,49,2.3,5,5.7,0,15,1,0,1,8.3,5.4,4.7,5.7,4.5,4.2
Software Engineer,Mid,7,1.0,Small (51-200),Healthcare Tech,Remote,85575,52,0.1,12,4.5,6,14,0,0,0,4.6,5.6,8.7,5.6,5.6,5.7
Software Engineer,Senior,24,3.8,Large (1001-5000),Gaming,Remote,93995,53,1.4,8,5.7,6,18,0,0,1,9.5,4.6,2.1,3.5,7.6,4.7
Product Manager,Mid,4,3.6,Mid (201-1000),Enterprise Software,Hybrid,96422,49,4.4,13,7.5,4,3,0,0,1,1.0,7.1,5.3,6.6,3.3,5.6
Software Engineer,Mid,8,2.4,Enterprise (5000+),Gaming,Remote,88067,48,2.8,24,6.6,4,10,1,0,1,6.6,7.1,4.9,5.7,7.1,6.5
Software Engineer,Senior,5,1.0,Large (1001-5000),Enterprise Software,On-site,115693,45,2.2,10,5.4,0,11,0,0,1,4.5,3.6,5.1,5.7,3.1,6.2
Frontend Developer,Junior,7,5.8,Small (51-200),SaaS / Cloud,Hybrid,43686,45,0.0,16,6.2,3,15,1,0,1,5.4,5.2,7.5,6.3,6.4,7.7
Software Engineer,Senior,11,4.8,Startup (1-50),E-commerce,On-site,40000,43,1.9,3,5.9,2,8,0,0,1,4.7,8.6,3.7,4.9,6.4,4.3
DevOps Engineer,Senior,9,3.0,Startup (1-50),SaaS / Cloud,Remote,85257,50,3.3,3,6.0,2,16,1,0,1,7.4,1.0,8.4,2.8,7.9,9.2
Frontend Developer,Lead,15,6.4,Large (1001-5000),Consulting,On-site,45674,51,5.7,24,8.3,3,16,0,0,1,3.0,5.8,4.3,7.3,7.2,7.7
